a1740,a00001740
a2098,a00002098
a2312,a00002312
a2527,a00002527
a2730,a00002730
a2843,a00002843
a2956,a00002956
a3131,a00003131
a3356,a00003356
a3552,a00003553
a3699,a00003700
a3828,a00003829
a3938,a00003939
a4170,a00004171
a4295,a00004296
a4412,a00004413
a4614,a00004615
a4722,a00004723
a4816,a00004817
a4979,a00004980
a5106,a00005107
a5204,a00005205
a5472,a00005473
a5598,a00005599
a5717,a00005718
a5838,a00005839
a6050,a00006032
a6263,a00006245
a6354,a00006336
a6795,a00006777
a6903,a00006885
a7115,a00007096
a7227,a00007208
a7350,a00007331
a7535,a00007516
a7716,a00007697
a7832,a00007813
a8009,a00007990
a8225,a00008206
a8462,a00008443
a8614,a00008595
a8753,a00008734
a8896,a00008877
a9065,a00009046
a9365,a00009346
a9637,a00009618
a9997,a00009978
a10404,a00010385
a10556,a00010537
a10745,a00010726
a11179,a00011160
a11346,a00011327
a11684,a00011665
a11776,a00011757
a12090,a00012071
a12381,a00012362
a12708,a00012689
a12951,a00012932
a13179,a00013160
a13461,a00013442
a13681,a00013662
a13906,a00013887
a14377,a00014358
a14509,a00014490
a14877,a00014858
a15134,a00015097
a15284,a00015247
a15517,a00015480
a15626,a00015589
a15758,a00015720
a15892,a00015854
a16043,a00016005
a16173,a00016135
a16285,a00016247
a16388,a00016350
a16570,a00016532
a16685,a00016647
a16794,a00016756
a17062,a00017024
a17224,a00017186
a17390,a00017352
a17547,a00017509
a17726,a00017688
a17820,a00017782
a18107,a00018069
a18260,a00018222
a18473,a00018435
a18622,a00018584
a18888,a00018850
a19169,a00019131
a19387,a00019349
a19543,a00019505
a19769,a00019731
a19912,a00019874
a20141,a00020103
a20278,a00020241
a20447,a00020410
a20684,a00020647
a20824,a00020787
a21147,a00021110
a21440,a00021403
a21629,a00021592
a21803,a00021766
a22256,a00022219
a22474,a00022437
a22717,a00022680
a22889,a00022852
a22999,a00022962
a23157,a00023120
a23315,a00023278
a23420,a00023383
a23695,a00023655
a23894,a00023854
a24180,a00024139
a24282,a00024241
a24701,a00024619
a24914,a00024834
a25079,a00024996
a25245,a00025138
a25351,a00025238
a25583,a00025470
a25746,a00025633
a25841,a00025728
a26164,a00026051
a26281,a00026168
a26407,a00026294
a26501,a00026388
a26628,a00026515
a26819,a00026706
a27008,a00026895
a27187,a00027074
a27360,a00027247
a27712,a00027599
a27946,a00027833
a28121,a00028008
a28294,a00028181
a28393,a00028280
a28584,a00028471
a28785,a00028672
a28980,a00028867
a29097,a00028984
a29221,a00029108
a29329,a00029216
a29456,a00029343
a29882,a00029769
a30046,a00029933
a30621,a00030508
a30814,a00030701
a30911,a00030798
a31251,a00031138
a31497,a00031384
a31646,a00031533
a31787,a00031674
a31937,a00031824
a32087,a00031974
a32471,a00032358
a32610,a00032497
a32846,a00032733
a33190,a00033077
a33319,a00033206
a33472,a00033359
a33588,a00033475
a33687,a00033574
a33999,a00033886
a34145,a00034032
a34345,a00034232
a34435,a00034322
a34685,a00034572
a34823,a00034710
a35037,a00034924
a35187,a00035074
a35367,a00035254
a35481,a00035368
a35578,a00035465
a35892,a00035779
a35981,a00035868
a36091,a00035978
a36276,a00036163
a36367,a00036254
a36459,a00036346
a36594,a00036481
a36876,a00036763
a36992,a00036879
a37111,a00036998
a37301,a00037188
a37454,a00037341
a37570,a00037457
a37766,a00037653
a37870,a00037757
a38098,a00037985
a38232,a00038119
a38373,a00038260
a38575,a00038462
a38736,a00038623
a38863,a00038750
a39235,a00039122
a39372,a00039259
a39507,a00039394
a39705,a00039592
a40060,a00039929
a40189,a00040058
a40548,a00040325
a40757,a00040534
a40908,a00040685
a41131,a00040909
a41273,a00041051
a41424,a00041202
a41583,a00041361
a41710,a00041488
a41840,a00041618
a42063,a00041841
a42258,a00042037
a42449,a00042228
a42677,a00042457
a42912,a00042692
a43057,a00042837
a43202,a00042982
a43345,a00043125
a43450,a00043231
a43630,a00043411
a43985,a00043765
a44352,a00044132
a44573,a00044353
a44828,a00044608
a44980,a00044760
a45207,a00044987
a45343,a00045123
a45576,a00045356
a45781,a00045561
a45955,a00045735
a46108,a00045888
a46234,a00046014
a46329,a00046109
a46559,a00046339
a46691,a00046471
a46778,a00046558
a46893,a00046673
a47012,a00046792
a47175,a00046955
a47249,a00047029
a47463,a00047243
a47626,a00047406
a47786,a00047566
a47873,a00047653
a48006,a00047786
a48174,a00047954
a48349,a00048129
a48680,a00048460
a48926,a00048706
a49078,a00048858
a49236,a00049016
a49486,a00049266
a49689,a00049469
a49903,a00049683
a50099,a00049879
a50303,a00050083
a50480,a00050260
a50666,a00050446
a50861,a00050641
a51019,a00050799
a51167,a00050947
a51265,a00051045
a51593,a00051373
a51791,a00051571
a51936,a00051696
a52252,a00052012
a52486,a00052246
a52671,a00052431
a52912,a00052672
a53272,a00053032
a53394,a00053154
a53488,a00053248
a53624,a00053384
a53804,a00053564
a53931,a00053691
a54349,a00054109
a54441,a00054201
a54518,a00054278
a54604,a00054364
a54781,a00054541
a54907,a00054667
a55044,a00054804
a55148,a00054908
a55281,a00055041
a55382,a00055142
a55496,a00055256
a55580,a00055340
a55779,a00055539
a56005,a00055765
a56146,a00055906
a56242,a00056002
a56900,a00056660
a57089,a00056849
a57183,a00056943
a57389,a00057149
a57630,a00057390
a57730,a00057490
a57806,a00057566
a57977,a00057737
a58121,a00057881
a58232,a00057992
a58520,a00058280
a58619,a00058379
a58794,a00058554
a58955,a00058696
a59081,a00058822
a59188,a00058929
a59287,a00059028
a59390,a00059131
a59460,a00059201
a59585,a00059326
a59750,a00059491
a59928,a00059669
a60041,a00059782
a60224,a00059965
a60312,a00060053
a60410,a00060151
a60553,a00060294
a60656,a00060397
a60864,a00060605
a61134,a00060875
a61228,a00060969
a61347,a00061088
a61521,a00061262
a61923,a00061664
a62144,a00061885
a62411,a00062152
a62626,a00062367
a62885,a00062626
a62999,a00062740
a63346,a00063087
a63536,a00063277
a63822,a00063563
a64212,a00063953
a64435,a00064176
a64624,a00064365
a64738,a00064479
a65107,a00064787
a65384,a00065064
a65504,a00065184
a65808,a00065488
a66276,a00065667
a66400,a00065791
a66755,a00066146
a67174,a00066565
a67312,a00066703
a67409,a00066800
a67542,a00066933
a67647,a00067038
a67988,a00067379
a68247,a00067638
a68376,a00067767
a68575,a00067966
a68789,a00068180
a68887,a00068278
a69175,a00068566
a69347,a00068738
a69492,a00068883
a69669,a00069060
a69826,a00069217
a70036,a00069427
a70140,a00069531
a70557,a00069948
a70720,a00070111
