a#000000,a1740,a00001740
a#000001,a2098,a00002098
a#000002,a2312,a00002312
a#000003,a2527,a00002527
a#000004,a2730,a00002730
a#000005,a2843,a00002843
a#000006,a2956,a00002956
a#000007,a3131,a00003131
a#000008,a3356,a00003356
a#000009,a3552,a00003553
a#000010,a3699,a00003700
a#000011,a3828,a00003829
a#000012,a3938,a00003939
a#000013,a4170,a00004171
a#000014,a4295,a00004296
a#000015,a4412,a00004413
a#000016,a4614,a00004615
a#000017,a4722,a00004723
a#000018,a4816,a00004817
a#000019,a4979,a00004980
a#000020,a5106,a00005107
a#000021,a5204,a00005205
a#000022,a5472,a00005473
a#000023,a5598,a00005599
a#000024,a5717,a00005718
a#000025,a5838,a00005839
a#000026,a6050,a00006032
a#000027,a6263,a00006245
a#000028,a6354,a00006336
a#000029,a6795,a00006777
a#000030,a6903,a00006885
a#000031,a7115,a00007096
a#000032,a7227,a00007208
a#000033,a7350,a00007331
a#000034,a7535,a00007516
a#000035,a7716,a00007697
a#000036,a7832,a00007813
a#000037,a8009,a00007990
a#000038,a8225,a00008206
a#000039,a8462,a00008443
a#000040,a8614,a00008595
a#000041,a8753,a00008734
a#000042,a8896,a00008877
a#000043,a9065,a00009046
a#000044,a9365,a00009346
a#000045,a9637,a00009618
a#000046,a9997,a00009978
a#000047,a10404,a00010385
a#000048,a10556,a00010537
a#000049,a10745,a00010726
a#000050,a11179,a00011160
a#000051,a11346,a00011327
a#000052,a11684,a00011665
a#000053,a11776,a00011757
a#000054,a12090,a00012071
a#000055,a12381,a00012362
a#000056,a12708,a00012689
a#000057,a12951,a00012932
a#000058,a13179,a00013160
a#000059,a13461,a00013442
a#000060,a13681,a00013662
a#000061,a13906,a00013887
a#000062,a14377,a00014358
a#000063,a14509,a00014490
a#000064,a14877,a00014858
a#000065,a15134,a00015097
a#000066,a15284,a00015247
a#000067,a15517,a00015480
a#000068,a15626,a00015589
a#000069,a15758,a00015720
a#000070,a15892,a00015854
a#000071,a16043,a00016005
a#000072,a16173,a00016135
a#000073,a16285,a00016247
a#000074,a16388,a00016350
a#000075,a16570,a00016532
a#000076,a16685,a00016647
a#000077,a16794,a00016756
a#000078,a17062,a00017024
a#000079,a17224,a00017186
a#000080,a17390,a00017352
a#000081,a17547,a00017509
a#000082,a17726,a00017688
a#000083,a17820,a00017782
a#000084,a18107,a00018069
a#000085,a18260,a00018222
a#000086,a18473,a00018435
a#000087,a18622,a00018584
a#000088,a18888,a00018850
a#000089,a19169,a00019131
a#000090,a19387,a00019349
a#000091,a19543,a00019505
a#000092,a19769,a00019731
a#000093,a19912,a00019874
a#000094,a20141,a00020103
a#000095,a20278,a00020241
a#000096,a20447,a00020410
a#000097,a20684,a00020647
a#000098,a20824,a00020787
a#000099,a21147,a00021110
a#000100,a21440,a00021403
a#000101,a21629,a00021592
a#000102,a21803,a00021766
a#000103,a22256,a00022219
a#000104,a22474,a00022437
a#000105,a22717,a00022680
a#000106,a22889,a00022852
a#000107,a22999,a00022962
a#000108,a23157,a00023120
a#000109,a23315,a00023278
a#000110,a23420,a00023383
a#000111,a23695,a00023655
a#000112,a23894,a00023854
a#000113,a24180,a00024139
a#000114,a24282,a00024241
a#000116,a24701,a00024619
a#000117,a24914,a00024834
a#000118,a25079,a00024996
a#000119,a25245,a00025138
a#000120,a25351,a00025238
a#000121,a25583,a00025470
a#000122,a25746,a00025633
a#000123,a25841,a00025728
a#000124,a26164,a00026051
a#000125,a26281,a00026168
a#000126,a26407,a00026294
a#000127,a26501,a00026388
a#000128,a26628,a00026515
a#000129,a26819,a00026706
a#000130,a27008,a00026895
a#000131,a27187,a00027074
a#000132,a27360,a00027247
a#000133,a27712,a00027599
a#000134,a27946,a00027833
a#000135,a28121,a00028008
a#000136,a28294,a00028181
a#000137,a28393,a00028280
a#000138,a28584,a00028471
a#000139,a28785,a00028672
a#000140,a28980,a00028867
a#000141,a29097,a00028984
a#000142,a29221,a00029108
a#000143,a29329,a00029216
a#000144,a29456,a00029343
a#000145,a29882,a00029769
a#000146,a30046,a00029933
a#000147,a30621,a00030508
a#000148,a30814,a00030701
a#000149,a30911,a00030798
a#000150,a31251,a00031138
a#000151,a31497,a00031384
a#000152,a31646,a00031533
a#000153,a31787,a00031674
a#000154,a31937,a00031824
a#000155,a32087,a00031974
a#000156,a32471,a00032358
a#000157,a32610,a00032497
a#000158,a32846,a00032733
a#000159,a33190,a00033077
a#000160,a33319,a00033206
a#000161,a33472,a00033359
a#000162,a33588,a00033475
a#000163,a33687,a00033574
a#000164,a33999,a00033886
a#000165,a34145,a00034032
a#000166,a34345,a00034232
a#000167,a34435,a00034322
a#000168,a34685,a00034572
a#000169,a34823,a00034710
a#000170,a35037,a00034924
a#000171,a35187,a00035074
a#000172,a35367,a00035254
a#000173,a35481,a00035368
a#000174,a35578,a00035465
a#000175,a35892,a00035779
a#000176,a35981,a00035868
a#000177,a36091,a00035978
a#000178,a36276,a00036163
a#000179,a36367,a00036254
a#000180,a36459,a00036346
a#000181,a36594,a00036481
a#000182,a36876,a00036763
a#000183,a36992,a00036879
a#000184,a37111,a00036998
a#000185,a37301,a00037188
a#000186,a37454,a00037341
a#000187,a37570,a00037457
a#000188,a37766,a00037653
a#000189,a37870,a00037757
a#000190,a38098,a00037985
a#000191,a38232,a00038119
a#000192,a38373,a00038260
a#000193,a38575,a00038462
a#000194,a38736,a00038623
a#000195,a38863,a00038750
a#000196,a39235,a00039122
a#000197,a39372,a00039259
a#000198,a39507,a00039394
a#000199,a39705,a00039592
a#000200,a40060,a00039929
a#000201,a40189,a00040058
a#000202,a40548,a00040325
a#000203,a40757,a00040534
a#000204,a40908,a00040685
a#000205,a41131,a00040909
a#000206,a41273,a00041051
a#000207,a41424,a00041202
a#000208,a41583,a00041361
a#000209,a41710,a00041488
a#000210,a41840,a00041618
a#000211,a42063,a00041841
a#000212,a42258,a00042037
a#000213,a42449,a00042228
a#000214,a42677,a00042457
a#000215,a42912,a00042692
a#000216,a43057,a00042837
a#000217,a43202,a00042982
a#000218,a43345,a00043125
a#000219,a43450,a00043231
a#000220,a43630,a00043411
a#000222,a43985,a00043765
a#000223,a44352,a00044132
a#000224,a44573,a00044353
a#000225,a44828,a00044608
a#000226,a44980,a00044760
a#000227,a45207,a00044987
a#000228,a45343,a00045123
a#000229,a45576,a00045356
a#000230,a45781,a00045561
a#000231,a45955,a00045735
a#000232,a46108,a00045888
a#000233,a46234,a00046014
a#000234,a46329,a00046109
a#000235,a46559,a00046339
a#000236,a46691,a00046471
a#000237,a46778,a00046558
a#000238,a46893,a00046673
a#000239,a47012,a00046792
a#000240,a47175,a00046955
a#000241,a47249,a00047029
a#000242,a47463,a00047243
a#000243,a47626,a00047406
a#000244,a47786,a00047566
a#000245,a47873,a00047653
a#000246,a48006,a00047786
a#000247,a48174,a00047954
a#000248,a48349,a00048129
a#000249,a48680,a00048460
a#000250,a48926,a00048706
a#000251,a49078,a00048858
a#000252,a49236,a00049016
a#000253,a49486,a00049266
a#000254,a49689,a00049469
a#000255,a49903,a00049683
a#000256,a50099,a00049879
a#000257,a50303,a00050083
a#000258,a50480,a00050260
a#000259,a50666,a00050446
a#000260,a50861,a00050641
a#000261,a51019,a00050799
a#000262,a51167,a00050947
a#000263,a51265,a00051045
a#000264,a51593,a00051373
a#000265,a51791,a00051571
a#000266,a51936,a00051696
a#000267,a52252,a00052012
a#000268,a52486,a00052246
a#000269,a52671,a00052431
a#000270,a52912,a00052672
a#000271,a53272,a00053032
a#000272,a53394,a00053154
a#000273,a53488,a00053248
a#000274,a53624,a00053384
a#000275,a53804,a00053564
a#000276,a53931,a00053691
a#000277,a54349,a00054109
a#000278,a54441,a00054201
a#000279,a54518,a00054278
a#000280,a54604,a00054364
a#000281,a54781,a00054541
a#000282,a54907,a00054667
a#000283,a55044,a00054804
a#000284,a55148,a00054908
a#000285,a55281,a00055041
a#000286,a55382,a00055142
a#000287,a55496,a00055256
a#000288,a55580,a00055340
a#000289,a55779,a00055539
a#000290,a56005,a00055765
a#000291,a56146,a00055906
a#000292,a56242,a00056002
a#000293,a56900,a00056660
a#000294,a57089,a00056849
a#000295,a57183,a00056943
a#000296,a57389,a00057149
a#000297,a57630,a00057390
a#000298,a57730,a00057490
a#000299,a57806,a00057566
a#000300,a57977,a00057737
a#000301,a58121,a00057881
a#000302,a58232,a00057992
a#000303,a58520,a00058280
a#000304,a58619,a00058379
a#000305,a58794,a00058554
a#000306,a58955,a00058696
a#000307,a59081,a00058822
a#000308,a59188,a00058929
a#000309,a59287,a00059028
a#000310,a59390,a00059131
a#000311,a59460,a00059201
a#000312,a59585,a00059326
a#000313,a59750,a00059491
a#000314,a59928,a00059669
